reference_period,type_of_service,aggregation_level,state,county,state_fips,county_fips,number_of_fee_for_service_beneficiaries,number_of_providers,average_number_of_users_per_provider,percentage_of_users_out_of_ffs_beneficiaries,number_of_users,average_number_of_providers_per_county,number_of_dual_eligible_users,percentage_of_dual_eligible_users_out_of_total_users,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries,total_payment,moratorium,number_of_fee_for_service_beneficiaries_dual_color,number_of_fee_for_service_beneficiaries_description,number_of_providers_dual_color,number_of_providers_description,average_number_of_users_per_provider_dual_color,average_number_of_users_per_provider_description,percentage_of_users_out_of_ffs_beneficiaries_dual_color,percentage_of_users_out_of_ffs_beneficiaries_description,number_of_users_dual_color,number_of_users_description,average_number_of_providers_per_county_dual_color,average_number_of_providers_per_county_description,number_of_dual_eligible_users_dual_color,number_of_dual_eligible_users_description,percentage_of_dual_eligible_users_out_of_total_users_dual_color,percentage_of_dual_eligible_users_out_of_total_users_description,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_dual_color,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_description,total_payment_dual_color,total_payment_description,number_of_fee_for_service_beneficiaries_change,number_of_providers_change,average_number_of_users_per_provider_change,percentage_of_users_out_of_ffs_beneficiaries_change,number_of_users_change,average_number_of_providers_per_county_change,number_of_dual_eligible_users_change,percentage_of_dual_eligible_users_out_of_total_users_change,percentage_of_dual_eligible_users_out_of_dual_eligible_ffs_beneficiaries_change,total_payment_change
"2020-10-01 to 2021-09-30",Neurology,COUNTY,MI,WAYNE,26,163,"179,546",74,47.01,1.94%,"3,479",74,"1,410",40.53%,3.04%,"$688,031.68",No,"BLUE 5","Extreme Values (More than 29,563 Beneficiaries)","BLUE 5","Extreme Values (More than 7 Providers)","BLUE 2","Second Lowest 25% (37.74 - 48.49 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.25% - 2.02% of Users)","BLUE 5","Extreme Values (More than 303 Users)","BLUE 5","Extreme Values (More than 7.49 Providers)","BLUE 5","Extreme Values (More than 110 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (26.32% - 45.41% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (1.97% - 3.15% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $42,247.77 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30",Ophthalmology,COUNTY,MI,WAYNE,26,163,"178,325",427,107.40,25.72%,"45,858",427,"10,431",22.75%,22.79%,"$29,045,470.58",No,"BLUE 5","Extreme Values (More than 22,934 Beneficiaries)","BLUE 5","Extreme Values (More than 92 Providers)","BLUE 4","Top 25% Excl. Extreme Values (81.99 - 146.75 Users)","BLUE 1","Lowest 25% (Less than 27.15% of Users)","BLUE 5","Extreme Values (More than 7,108 Users)","BLUE 5","Extreme Values (More than 92.99 Providers)","BLUE 5","Extreme Values (More than 754 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.20% - 25.07% of Total Users)","BLUE 2","Second Lowest 25% (20.11% - 23.28% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,135,460.62 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"178,325",426,25.72,6.14%,"10,955",426,"2,790",25.47%,6.10%,"$13,586,830.30",No,"BLUE 5","Extreme Values (More than 23,593 Beneficiaries)","BLUE 5","Extreme Values (More than 48 Providers)","BLUE 1","Lowest 25% (Less than 29.82 Users)","BLUE 3","Third Lowest 25% (5.65% - 8.20% of Users)","BLUE 5","Extreme Values (More than 1,706 Users)","BLUE 5","Extreme Values (More than 48.49 Providers)","BLUE 5","Extreme Values (More than 215 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.81% - 26.62% of Total Users)","BLUE 3","Third Lowest 25% (4.74% - 6.43% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,534,486.17 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30","Podiatry Services",COUNTY,MI,WAYNE,26,163,"179,252",283,111.34,17.58%,"31,508",283,"11,555",36.67%,24.89%,"$8,064,543.96",No,"BLUE 5","Extreme Values (More than 23,376 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 4","Top 25% Excl. Extreme Values (98.25 - 186.11 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.47% - 18.68% of Users)","BLUE 5","Extreme Values (More than 2,473 Users)","BLUE 5","Extreme Values (More than 27.99 Providers)","BLUE 5","Extreme Values (More than 476 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.31% - 43.11% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.06% - 28.20% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $471,735.81 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"178,325","1,998",46.80,52.44%,"93,514","1,998.00","26,571",28.41%,58.05%,"$15,805,521.40",No,"BLUE 5","Extreme Values (More than 22,930 Beneficiaries)","BLUE 5","Extreme Values (More than 244 Providers)","BLUE 3","Third Lowest 25% (46.08 - 58.92 Users)","BLUE 2","Second Lowest 25% (45.15% - 54.09% of Users)","BLUE 5","Extreme Values (More than 13,138 Users)","BLUE 5","Extreme Values (More than 244.49 Providers)","BLUE 5","Extreme Values (More than 1,659 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (16.57% - 28.86% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (57.23% - 81.86% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,146,087.46 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30",Psychotherapy,COUNTY,MI,WAYNE,26,163,"178,325",420,33.92,7.99%,"14,247",420,"7,499",52.64%,16.38%,"$10,232,055.50",No,"BLUE 5","Extreme Values (More than 24,159 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 1","Lowest 25% (Less than 35.89 Users)","BLUE 5","Extreme Values (More than 7.34% of Users)","BLUE 5","Extreme Values (More than 1,031 Users)","BLUE 5","Extreme Values (More than 27.49 Providers)","BLUE 5","Extreme Values (More than 380 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (44.25% - 69.23% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.25% - 22.59% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $575,431.04 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30",Pulmonology,COUNTY,MI,WAYNE,26,163,"178,778","1,230",30.78,21.17%,"37,855","1,230.00","11,347",29.97%,24.44%,"$6,538,075.96",No,"BLUE 5","Extreme Values (More than 23,057 Beneficiaries)","BLUE 5","Extreme Values (More than 133 Providers)","BLUE 1","Lowest 25% (Less than 37.94 Users)","BLUE 3","Third Lowest 25% (20.34% - 22.97% of Users)","BLUE 5","Extreme Values (More than 4,939 Users)","BLUE 5","Extreme Values (More than 133.99 Providers)","BLUE 5","Extreme Values (More than 731 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (18.18% - 30.56% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (23.64% - 31.79% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $807,692.11 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"178,918",109,58.82,3.58%,"6,411",109,"2,684",41.87%,5.81%,"$96,694,255.66",No,"BLUE 5","Extreme Values (More than 24,478 Beneficiaries)","BLUE 5","Extreme Values (More than 15 Providers)","BLUE 3","Third Lowest 25% (50.55 - 63.99 Users)","BLUE 3","Third Lowest 25% (3.23% - 3.96% of Users)","BLUE 5","Extreme Values (More than 819 Users)","BLUE 5","Extreme Values (More than 15.99 Providers)","BLUE 5","Extreme Values (More than 241 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (36.82% - 59.82% of Total Users)","BLUE 2","Second Lowest 25% (5.01% - 6.70% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $13,581,192.86 )"," "," "," "," "," "," "," "," "," "," "
"2020-10-01 to 2021-09-30",Telemedicine,COUNTY,MI,WAYNE,26,163,"178,325",372,43.66,9.11%,"16,243",372,"6,903",42.50%,15.08%,"$4,433,103.02",No,"BLUE 5","Extreme Values (More than 23,390 Beneficiaries)","BLUE 5","Extreme Values (More than 23 Providers)","BLUE 2","Second Lowest 25% (41.00 - 51.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.75% - 9.91% of Users)","BLUE 5","Extreme Values (More than 1,080 Users)","BLUE 5","Extreme Values (More than 23.49 Providers)","BLUE 5","Extreme Values (More than 349 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (38.99% - 63.79% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (12.92% - 21.94% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $220,896.15 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Ambulance (Emergency & Non-Emergency)",COUNTY,MI,WAYNE,26,163,"169,271",70,299.56,12.39%,"20,969",70,"9,173",43.75%,21.14%,"$18,659,610.56",No,"BLUE 5","Extreme Values (More than 22,046 Beneficiaries)","BLUE 5","Extreme Values (More than 20 Providers)","BLUE 5","Extreme Values (More than 264.17 Users)","BLUE 3","Third Lowest 25% (11.21% - 12.80% of Users)","BLUE 5","Extreme Values (More than 2,577 Users)","BLUE 5","Extreme Values (More than 20.49 Providers)","BLUE 5","Extreme Values (More than 660 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (30.65% - 49.20% of Total Users)","BLUE 3","Third Lowest 25% (20.19% - 22.72% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,345,604.36 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Ambulance (Emergency)",COUNTY,MI,WAYNE,26,163,"169,271",65,282.14,10.83%,"18,339",65,"8,075",44.03%,18.61%,"$12,349,169.97",No,"BLUE 5","Extreme Values (More than 22,097 Beneficiaries)","BLUE 5","Extreme Values (More than 14 Providers)","BLUE 4","Top 25% Excl. Extreme Values (177.50 - 349.24 Users)","BLUE 3","Third Lowest 25% (10.05% - 11.54% of Users)","BLUE 5","Extreme Values (More than 2,333 Users)","BLUE 5","Extreme Values (More than 14.49 Providers)","BLUE 5","Extreme Values (More than 624 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (31.26% - 50.20% of Total Users)","BLUE 3","Third Lowest 25% (18.50% - 20.90% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,671,707.68 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Ambulance (Non-Emergency)",COUNTY,MI,WAYNE,26,163,"169,271",70,138.09,5.71%,"9,666",70,"4,571",47.29%,10.53%,"$6,212,819.29",No,"BLUE 5","Extreme Values (More than 23,425 Beneficiaries)","BLUE 5","Extreme Values (More than 22 Providers)","BLUE 5","Extreme Values (More than 90.31 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.02% - 9.12% of Users)","BLUE 5","Extreme Values (More than 907 Users)","BLUE 5","Extreme Values (More than 22.99 Providers)","BLUE 5","Extreme Values (More than 266 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (34.23% - 55.10% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (10.06% - 16.86% of Total FFS Beneficiaries","BLUE 5","Extreme Values (More than $685,541.38 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Cardiac Rehabilitation Program",COUNTY,MI,WAYNE,26,163,"169,889",13,57.00,0.44%,741,13,115,15.52%,0.26%,"$3,653,691.55",No,"BLUE 5","Extreme Values (More than 34,623 Beneficiaries)","BLUE 5","Extreme Values (More than 3 Providers)","BLUE 4","Top 25% Excl. Extreme Values (53.00 - 97.99 Users)","BLUE 2","Second Lowest 25% (0.38% - 0.56% of Users)","BLUE 5","Extreme Values (More than 172 Users)","BLUE 5","Extreme Values (More than 3.49 Providers)","BLUE 5","Extreme Values (More than 45 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.46% - 26.63% of Total Users)","BLUE 2","Second Lowest 25% (0.22% - 0.37% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,285,136.79 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Chiropractic Services",COUNTY,MI,WAYNE,26,163,"169,271",159,32.47,3.05%,"5,162",159,549,10.64%,1.27%,"$2,072,461.37",No,"BLUE 5","Extreme Values (More than 22,971 Beneficiaries)","BLUE 5","Extreme Values (More than 24 Providers)","BLUE 1","Lowest 25% (Less than 36.00 Users)","BLUE 2","Second Lowest 25% (2.63% - 4.18% of Users)","BLUE 5","Extreme Values (More than 1,159 Users)","BLUE 5","Extreme Values (More than 24.49 Providers)","BLUE 5","Extreme Values (More than 111 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (10.30% - 18.78% of Total Users","BLUE 1","Lowest 25% (Less than 1.59% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $309,241.83 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Clinical Laboratory (Billing Independently)",COUNTY,MI,WAYNE,26,163,"169,271",168,268.77,26.67%,"45,153",168,"17,593",38.96%,40.54%,"$22,671,058.53",No,"BLUE 5","Extreme Values (More than 21,932 Beneficiaries)","BLUE 5","Extreme Values (More than 55 Providers)","BLUE 4","Top 25% Excl. Extreme Values (148.36 - 282.27 Users)","BLUE 2","Second Lowest 25% (20.69% - 35.36% of Users)","BLUE 5","Extreme Values (More than 8,298 Users)","BLUE 5","Extreme Values (More than 55.49 Providers)","BLUE 5","Extreme Values (More than 1,299 Dual Eligible Users)","BLUE 5","Extreme Values (More than 33.57% of Total Users)","BLUE 3","Third Lowest 25% (40.17% - 53.11% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,414,103.09 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Dialysis,COUNTY,MI,WAYNE,26,163,"169,889",69,38.43,1.56%,"2,652",69,"1,459",55.02%,3.32%,"$62,293,700.20",No,"BLUE 5","Extreme Values (More than 29,719 Beneficiaries)","BLUE 5","Extreme Values (More than 5 Providers)","BLUE 3","Third Lowest 25% (32.69 - 42.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.01% - 1.71% of Users)","BLUE 5","Extreme Values (More than 212 Users)","BLUE 5","Extreme Values (More than 5.99 Providers)","BLUE 5","Extreme Values (More than 125 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (46.62% - 71.30% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (3.20% - 5.61% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,058,701.55 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Federally Qualified Health Center (FQHC)",COUNTY,MI,WAYNE,26,163,"169,889",31,84.65,1.54%,"2,624",31,"1,772",67.53%,4.03%,"$1,104,153.88",No,"BLUE 5","Extreme Values (More than 26,603 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 3","Third Lowest 25% (78.50 - 137.74 Users)","BLUE 2","Second Lowest 25% (1.44% - 3.41% of Users)","BLUE 5","Extreme Values (More than 1,288 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 540 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (46.86% - 78.34% of Total Users)","BLUE 1","Lowest 25% (Less than 6.10% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $634,510.53 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Home Health",COUNTY,MI,WAYNE,26,163,"169,889",202,85.26,10.14%,"17,223",202,"6,847",39.75%,15.59%,"$84,237,827.95",No,"BLUE 5","Extreme Values (More than 22,833 Beneficiaries)","BLUE 5","Extreme Values (More than 16 Providers)","BLUE 3","Third Lowest 25% (69.50 - 125.32 Users)","BLUE 4","Top 25% Excl. Extreme Values (8.57% - 13.74% of Users)","BLUE 5","Extreme Values (More than 1,677 Users)","BLUE 5","Extreme Values (More than 16.99 Providers)","BLUE 5","Extreme Values (More than 342 Dual Eligible Users)","BLUE 5","Extreme Values (More than 39.10% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.86% - 18.88% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $8,993,312.15 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Hospice,COUNTY,MI,WAYNE,26,163,"169,889",40,89.40,2.10%,"3,576",40,"1,016",28.41%,2.31%,"$39,926,456.08",No,"BLUE 5","Extreme Values (More than 23,557 Beneficiaries)","BLUE 5","Extreme Values (More than 10 Providers)","BLUE 4","Top 25% Excl. Extreme Values (71.00 - 128.74 Users)","BLUE 2","Second Lowest 25% (1.99% - 2.42% of Users)","BLUE 5","Extreme Values (More than 590 Users)","BLUE 5","Extreme Values (More than 10.99 Providers)","BLUE 5","Extreme Values (More than 130 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (24.73% - 42.33% of Total Users)","BLUE 1","Lowest 25% (Less than 2.53% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $7,614,863.79 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Independent Diagnostic Testing Facility Pt A",COUNTY,MI,WAYNE,26,163,"169,889",87,936.26,47.95%,"81,455",87,"22,591",27.73%,51.42%,"$209,763,786.53",No,"BLUE 5","Extreme Values (More than 21,851 Beneficiaries)","BLUE 5","Extreme Values (More than 36 Providers)","BLUE 5","Extreme Values (More than 630.11 Users)","BLUE 3","Third Lowest 25% (44.64% - 53.08% of Users)","BLUE 5","Extreme Values (More than 11,158 Users)","BLUE 5","Extreme Values (More than 36.99 Providers)","BLUE 5","Extreme Values (More than 1,620 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (17.77% - 30.20% of Total Users)","BLUE 3","Third Lowest 25% (46.98% - 55.08% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $28,738,343.16 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Independent Diagnostic Testing Facility Pt B",COUNTY,MI,WAYNE,26,163,"169,271",44,156.43,4.07%,"6,883",44,"2,477",35.99%,5.71%,"$2,382,959.68",No,"BLUE 5","Extreme Values (More than 22,829 Beneficiaries)","BLUE 5","Extreme Values (More than 21 Providers)","BLUE 5","Extreme Values (More than 125.62 Users)","BLUE 2","Second Lowest 25% (3.43% - 4.62% of Users)","BLUE 5","Extreme Values (More than 1,240 Users)","BLUE 5","Extreme Values (More than 21.99 Providers)","BLUE 5","Extreme Values (More than 204 Dual Eligible Users)","BLUE 5","Extreme Values (More than 32.44% of Total Users)","BLUE 3","Third Lowest 25% (4.94% - 6.84% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $391,035.75 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Long-Term Care Hospitals",COUNTY,MI,WAYNE,26,163,"169,889",7,70.57,0.29%,494,7,260,52.63%,0.59%,"$26,463,205.68",No,"BLUE 5","Extreme Values (More than 74,952 Beneficiaries)","BLUE 5","Extreme Values (More than 2 Providers)","BLUE 4","Top 25% Excl. Extreme Values (52.00 - 96.99 Users)","BLUE 3","Third Lowest 25% (0.20% - 0.37% of Users)","BLUE 5","Extreme Values (More than 112 Users)","BLUE 5","Extreme Values (More than 2.49 Providers)","BLUE 5","Extreme Values (More than 76 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (42.98% - 70.60% of Total Users)","BLUE 3","Third Lowest 25% (0.59% - 1.07% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $5,357,047.63 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Neurology,COUNTY,MI,WAYNE,26,163,"170,506",71,48.38,2.01%,"3,435",71,"1,406",40.93%,3.18%,"$684,030.74",No,"BLUE 5","Extreme Values (More than 28,729 Beneficiaries)","BLUE 5","Extreme Values (More than 7 Providers)","BLUE 2","Second Lowest 25% (37.67 - 48.99 Users)","BLUE 4","Top 25% Excl. Extreme Values (1.28% - 2.07% of Users)","BLUE 5","Extreme Values (More than 295 Users)","BLUE 5","Extreme Values (More than 7.49 Providers)","BLUE 5","Extreme Values (More than 104 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (26.15% - 45.75% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (2.00% - 3.21% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $43,008.63 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Ophthalmology,COUNTY,MI,WAYNE,26,163,"169,271",435,104.14,26.76%,"45,299",435,"10,233",22.59%,23.58%,"$29,136,026.92",No,"BLUE 5","Extreme Values (More than 21,922 Beneficiaries)","BLUE 5","Extreme Values (More than 92 Providers)","BLUE 4","Top 25% Excl. Extreme Values (81.49 - 146.01 Users)","BLUE 1","Lowest 25% (Less than 28.14% of Users)","BLUE 5","Extreme Values (More than 7,204 Users)","BLUE 5","Extreme Values (More than 92.99 Providers)","BLUE 5","Extreme Values (More than 737 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (13.90% - 24.60% of Total Users)","BLUE 2","Second Lowest 25% (20.74% - 23.87% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $4,194,003.04 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Physical & Occupational Therapy",COUNTY,MI,WAYNE,26,163,"169,271",430,25.26,6.42%,"10,860",430,"2,731",25.15%,6.29%,"$13,555,159.10",No,"BLUE 5","Extreme Values (More than 22,798 Beneficiaries)","BLUE 5","Extreme Values (More than 48 Providers)","BLUE 1","Lowest 25% (Less than 29.25 Users)","BLUE 3","Third Lowest 25% (5.80% - 8.45% of Users)","BLUE 5","Extreme Values (More than 1,702 Users)","BLUE 5","Extreme Values (More than 48.49 Providers)","BLUE 5","Extreme Values (More than 215 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (14.34% - 25.73% of Total Users)","BLUE 3","Third Lowest 25% (4.73% - 6.63% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $1,571,131.89 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Podiatry Services",COUNTY,MI,WAYNE,26,163,"170,209",278,108.21,17.67%,"30,082",278,"11,008",36.59%,24.92%,"$7,985,963.92",No,"BLUE 5","Extreme Values (More than 22,389 Beneficiaries)","BLUE 5","Extreme Values (More than 30 Providers)","BLUE 4","Top 25% Excl. Extreme Values (95.54 - 179.34 Users)","BLUE 4","Top 25% Excl. Extreme Values (11.66% - 18.88% of Users)","BLUE 5","Extreme Values (More than 2,415 Users)","BLUE 5","Extreme Values (More than 30.49 Providers)","BLUE 5","Extreme Values (More than 463 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (25.08% - 43.00% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (17.34% - 28.34% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $483,351.51 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Preventive Health Services",COUNTY,MI,WAYNE,26,163,"169,271","1,963",46.46,53.88%,"91,198","1,963.00","24,948",27.36%,57.49%,"$15,461,669.45",No,"BLUE 5","Extreme Values (More than 21,929 Beneficiaries)","BLUE 5","Extreme Values (More than 244 Providers)","BLUE 3","Third Lowest 25% (45.64 - 58.48 Users)","BLUE 2","Second Lowest 25% (46.82% - 55.33% of Users)","BLUE 5","Extreme Values (More than 13,005 Users)","BLUE 5","Extreme Values (More than 244.49 Providers)","BLUE 5","Extreme Values (More than 1,563 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (15.88% - 27.56% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (57.01% - 80.98% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $2,113,863.52 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Psychotherapy,COUNTY,MI,WAYNE,26,163,"169,271",400,33.82,7.99%,"13,527",400,"7,091",52.42%,16.34%,"$9,953,749.10",No,"BLUE 5","Extreme Values (More than 23,179 Beneficiaries)","BLUE 5","Extreme Values (More than 27 Providers)","BLUE 1","Lowest 25% (Less than 36.00 Users)","BLUE 5","Extreme Values (More than 7.44% of Users)","BLUE 5","Extreme Values (More than 1,011 Users)","BLUE 5","Extreme Values (More than 27.49 Providers)","BLUE 5","Extreme Values (More than 367 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (43.97% - 69.01% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (13.39% - 22.77% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $575,520.78 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Pulmonology,COUNTY,MI,WAYNE,26,163,"169,727","1,280",30.07,22.67%,"38,484","1,280.00","11,396",29.61%,25.80%,"$6,733,115.23",No,"BLUE 5","Extreme Values (More than 21,998 Beneficiaries)","BLUE 5","Extreme Values (More than 138 Providers)","BLUE 1","Lowest 25% (Less than 37.73 Users)","BLUE 3","Third Lowest 25% (21.95% - 24.74% of Users)","BLUE 5","Extreme Values (More than 5,153 Users)","BLUE 5","Extreme Values (More than 138.99 Providers)","BLUE 5","Extreme Values (More than 728 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (17.59% - 29.61% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (24.90% - 33.29% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $857,128.34 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31","Skilled Nursing Facility",COUNTY,MI,WAYNE,26,163,"169,889",108,58.38,3.71%,"6,305",108,"2,573",40.81%,5.86%,"$95,882,756.23",No,"BLUE 5","Extreme Values (More than 23,634 Beneficiaries)","BLUE 5","Extreme Values (More than 15 Providers)","BLUE 3","Third Lowest 25% (49.00 - 62.99 Users)","BLUE 3","Third Lowest 25% (3.15% - 3.82% of Users)","BLUE 5","Extreme Values (More than 779 Users)","BLUE 5","Extreme Values (More than 15.99 Providers)","BLUE 5","Extreme Values (More than 213 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (34.48% - 56.19% of Total Users)","BLUE 2","Second Lowest 25% (4.80% - 6.18% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $12,834,130.71 )"," "," "," "," "," "," "," "," "," "," "
"2021-01-01 to 2021-12-31",Telemedicine,COUNTY,MI,WAYNE,26,163,"169,271",335,43.22,8.55%,"14,480",335,"6,124",42.29%,14.11%,"$4,247,867.70",No,"BLUE 5","Extreme Values (More than 22,483 Beneficiaries)","BLUE 5","Extreme Values (More than 19 Providers)","BLUE 2","Second Lowest 25% (42.20 - 53.85 Users)","BLUE 4","Top 25% Excl. Extreme Values (5.12% - 8.82% of Users)","BLUE 5","Extreme Values (More than 910 Users)","BLUE 5","Extreme Values (More than 19.99 Providers)","BLUE 5","Extreme Values (More than 301 Dual Eligible Users)","BLUE 4","Top 25% Excl. Extreme Values (39.68% - 65.86% of Total Users)","BLUE 4","Top 25% Excl. Extreme Values (11.86% - 20.23% of Total FFS Beneficiaries)","BLUE 5","Extreme Values (More than $200,323.74 )"," "," "," "," "," "," "," "," "," "," "
